Assembly	scaffolds
# contigs (>= 0 bp)	4534
# contigs (>= 1000 bp)	108
# contigs (>= 5000 bp)	18
# contigs (>= 10000 bp)	11
# contigs (>= 25000 bp)	10
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	39775568
Total length (>= 1000 bp)	38077217
Total length (>= 5000 bp)	37930974
Total length (>= 10000 bp)	37883980
Total length (>= 25000 bp)	37872818
Total length (>= 50000 bp)	37872818
# contigs	721
Largest contig	9029088
Total length	38462055
Reference length	37952898
GC (%)	48.02
Reference GC (%)	47.95
N50	5782061
NG50	5782061
N90	2020603
NG90	2020603
auN	5788783.8
auNG	5866443.2
L50	3
LG50	3
L90	7
LG90	7
# misassemblies	225
# misassembled contigs	11
Misassembled contigs length	37873414
# local misassemblies	213
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	5
# unaligned mis. contigs	1
# unaligned contigs	560 + 14 part
Unaligned length	2854104
Genome fraction (%)	93.800
Duplication ratio	1.000
# N's per 100 kbp	1.67
# mismatches per 100 kbp	1045.02
# indels per 100 kbp	55.10
# genomic features	79602 + 566 part
Largest alignment	2905059
Total aligned length	35605375
NA50	811866
NGA50	902872
NA90	20991
NGA90	30640
auNA	946172.5
auNGA	958865.9
LA50	14
LGA50	13
LA90	132
LGA90	114
