"Accession","cluster","chrm","region","product","product_category","backbone_locus_tag","backbone_gene","bb_type"
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"NRPS-like;NRPS","NRPS","3249_Z1__g000689--FGSG_01680..FSPOR_3572//3249_Z1__g000695--FGSG_11988..FSPOR_3578","3249_Z1__g000689--FGSG_01680..FSPOR_3572//3249_Z1__g000695--FGSG_11988..FSPOR_3578","NRPS-like//NRPS"
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"NRP-metallophore;NRPS","NRPS","NPS2//SID1","3249_Z1__g000725--FGSG_05372..FSPOR_355//3249_Z1__g000724--FGSG_05371..FSPOR_356","NRPS;NRP-metallophore//NRP-metallophore"
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"T1PKS","PKS","3249_Z1__g001162--FGSG_05794..FSPOR_5044","3249_Z1__g001162--FGSG_05794..FSPOR_5044","T1PKS"
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"NRPS-like","NRPS","LYS2","3249_Z1__g001412--FGSG_06041..FSPOR_9244","NRPS-like"
"NRRL3249","3249_Z10_len1379680.region001","3249_Z10_len1379680",1,"terpene","terpene","ERG9","3249_Z10__g008592--FGSG_09381..FSPOR_6272","terpene"
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"T1PKS","PKS","FSR1","3249_Z10__g008797--FGSG_09182..FSPOR_154","T1PKS"
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"T1PKS;NRPS","PKS;NRPS","3249_Z11__g009037//3249_Z11__g009046","3249_Z11__g009037//3249_Z11__g009046","T1PKS//NRPS"
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"isocyanide-nrp;terpene","NRPS;terpene","3249_Z11__g009274--FGSG_08181..FSPOR_6046//3249_Z11__g009277--FGSG_08184..FSPOR_6049//3249_Z11__g009278--FGSG_08185..FSPOR_6050","3249_Z11__g009274--FGSG_08181..FSPOR_6046//3249_Z11__g009277--FGSG_08184..FSPOR_6049//3249_Z11__g009278--FGSG_08185..FSPOR_6050","terpene//isocyanide-nrp//isocyanide-nrp"
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"T1PKS;NRPS;isocyanide","other;PKS;NRPS","3249_Z11__g009312--FGSG_08227..FSPOR_6083//NRPS7//PKS6","3249_Z11__g009312--FGSG_08227..FSPOR_6083//3249_Z11__g009300--FGSG_08209..FSPOR_6069//3249_Z11__g009299--FGSG_08208..FSPOR_6068","isocyanide//NRPS//T1PKS"
"NRRL3249","3249_Z11_len1352086.region004","3249_Z11_len1352086",4,"NRPS","NRPS","3249_Z11__g009396--FGSG_13394..FSPOR_10995","3249_Z11__g009396--FGSG_13394..FSPOR_10995","NRPS"
"NRRL3249","3249_Z12_len1307721.region001","3249_Z12_len1307721",1,"NRPS-like","NRPS","3249_Z12__g009516--FGSG_06462..FSPOR_389","3249_Z12__g009516--FGSG_06462..FSPOR_389","NRPS-like"
"NRRL3249","3249_Z12_len1307721.region002","3249_Z12_len1307721",2,"NRPS-like","NRPS","3249_Z12__g009556--FGSG_06507..FSPOR_3288","3249_Z12__g009556--FGSG_06507..FSPOR_3288","NRPS-like"
"NRRL3249","3249_Z12_len1307721.region003","3249_Z12_len1307721",3,"betalactone","other","3249_Z12__g009681--FGSG_06631..FSPOR_637//LEU4","3249_Z12__g009681--FGSG_06631..FSPOR_637//3249_Z12__g009678--FGSG_12952..FSPOR_635","betalactone//betalactone"
"NRRL3249","3249_Z14_len1152104.region001","3249_Z14_len1152104",1,"NRPS","NRPS","APF1","3249_Z14__g010284--FSPOR_5258","NRPS"
"NRRL3249","3249_Z14_len1152104.region002","3249_Z14_len1152104",2,"NRPS-like","NRPS","3249_Z14__g010345--FGSG_10702..FSPOR_6465","3249_Z14__g010345--FGSG_10702..FSPOR_6465","NRPS-like"
"NRRL3249","3249_Z14_len1152104.region003","3249_Z14_len1152104",3,"NRPS-like","NRPS","3249_Z14__g010480--FSPOR_8561","3249_Z14__g010480--FSPOR_8561","NRPS-like"
"NRRL3249","3249_Z15_len981733.region001","3249_Z15_len981733",1,"NRPS-like","NRPS","3249_Z15__g010635--FGSG_03257..FSPOR_5885","3249_Z15__g010635--FGSG_03257..FSPOR_5885","NRPS-like"
"NRRL3249","3249_Z15_len981733.region002","3249_Z15_len981733",2,"T1PKS","PKS","GPY1","3249_Z15__g010718--FGSG_03340..FSPOR_3725","T1PKS"
"NRRL3249","3249_Z17_len805405.region001","3249_Z17_len805405",1,"terpene","terpene","BTS1","3249_Z17__g011252--FGSG_10097..FSPOR_2743","terpene"
"NRRL3249","3249_Z19_len557454.region001","3249_Z19_len557454",1,"T3PKS","PKS","3249_Z19__g011565--FGSG_08378..FSPOR_3526","3249_Z19__g011565--FGSG_08378..FSPOR_3526","T3PKS"
"NRRL3249","3249_Z2_len3401109.region001","3249_Z2_len3401109",1,"isocyanide","other","3249_Z2__g001646--FSPOR_8887","3249_Z2__g001646--FSPOR_8887","isocyanide"
"NRRL3249","3249_Z2_len3401109.region002","3249_Z2_len3401109",2,"terpene","terpene","3249_Z2__g002011--FGSG_00451..FSPOR_10181","3249_Z2__g002011--FGSG_00451..FSPOR_10181","terpene"
"NRRL3249","3249_Z22_len148083.region001","3249_Z22_len148083",1,"terpene","terpene","TRI5","3249_Z22__g012069--FGSG_03537..FSPOR_6147","terpene"
"NRRL3249","3249_Z3_len3137824.region001","3249_Z3_len3137824",1,"terpene","terpene","3249_Z3__g002890--FGSG_07673..FSPOR_1775","3249_Z3__g002890--FGSG_07673..FSPOR_1775","terpene"
"NRRL3249","3249_Z3_len3137824.region002","3249_Z3_len3137824",2,"NRPS","NRPS","BEA1","3249_Z3__g002953--FSPOR_1714","NRPS"
"NRRL3249","3249_Z3_len3137824.region003","3249_Z3_len3137824",3,"T1PKS;NRPS","PKS;NRPS","FUS1","3249_Z3__g003002--FGSG_07798..FSPOR_1668","NRPS;T1PKS"
"NRRL3249","3249_Z3_len3137824.region004","3249_Z3_len3137824",4,"fungal-RiPP-like","RiPP","3249_Z3__g003612--FGSG_07066..FSPOR_9612","3249_Z3__g003612--FGSG_07066..FSPOR_9612","fungal-RiPP-like"
"NRRL3249","3249_Z4_len3064622.region001","3249_Z4_len3064622",1,"NRPS","NRPS","CHRY1","3249_Z4__g003767--FGSG_11395..FSPOR_8219","NRPS"
"NRRL3249","3249_Z4_len3064622.region002","3249_Z4_len3064622",2,"terpene","terpene","3249_Z4__g003857--FGSG_11327..FSPOR_9122","3249_Z4__g003857--FGSG_11327..FSPOR_9122","terpene"
"NRRL3249","3249_Z4_len3064622.region003","3249_Z4_len3064622",3,"NRPS","NRPS","3249_Z4__g004127--FGSG_11026..FSPOR_4638","3249_Z4__g004127--FGSG_11026..FSPOR_4638","NRPS"
"NRRL3249","3249_Z4_len3064622.region004","3249_Z4_len3064622",4,"NRPS;T1PKS","PKS;NRPS","3249_Z4__g004171--FSPOR_4592","3249_Z4__g004171--FSPOR_4592","NRPS;T1PKS"
"NRRL3249","3249_Z5_len3063904.region001","3249_Z5_len3063904",1,"isocyanide-nrp;NRPS","NRPS","3249_Z5__g004739--FGSG_03736..FSPOR_1142//CDR1_2//NPS6","3249_Z5__g004739--FGSG_03736..FSPOR_1142//3249_Z5__g004738--FGSG_03735..FSPOR_1141//3249_Z5__g004752--FGSG_03747..FSPOR_1154","isocyanide-nrp//isocyanide-nrp//NRPS"
"NRRL3249","3249_Z6_len3034431.region001","3249_Z6_len3034431",1,"T1PKS","PKS","PKS12","3249_Z6__g006223--FGSG_02324..FSPOR_6894","T1PKS"
"NRRL3249","3249_Z6_len3034431.region002","3249_Z6_len3034431",2,"NRPS-like","NRPS","3249_Z6__g006285--FGSG_02251..FSPOR_6823","3249_Z6__g006285--FGSG_02251..FSPOR_6823","NRPS-like"
"NRRL3249","3249_Z6_len3034431.region003","3249_Z6_len3034431",3,"T1PKS;NRPS","PKS;NRPS","NRPS32//PKS40","3249_Z6__g006584--FGSG_13878..FSPOR_1018//3249_Z6__g006580--FSPOR_1014","NRPS//T1PKS"
"NRRL3249","3249_Z7_len2527853.region001","3249_Z7_len2527853",1,"T1PKS","PKS","3249_Z7__g006755--FGSG_01790..FSPOR_2675","3249_Z7__g006755--FGSG_01790..FSPOR_2675","T1PKS"
"NRRL3249","3249_Z7_len2527853.region002","3249_Z7_len2527853",2,"fungal-RiPP-like","RiPP","3249_Z7__g006856--FGSG_01673..FSPOR_4922","3249_Z7__g006856--FGSG_01673..FSPOR_4922","fungal-RiPP-like"
"NRRL3249","3249_Z8_len1736631.region001","3249_Z8_len1736631",1,"T1PKS","PKS","3249_Z8__g007563--FGSG_08795..FSPOR_8627","3249_Z8__g007563--FGSG_08795..FSPOR_8627","T1PKS"
"NRRL3249","3249_Z8_len1736631.region002","3249_Z8_len1736631",2,"terpene","terpene","3249_Z8__g008032--FGSG_03066..FSPOR_4846","3249_Z8__g008032--FGSG_03066..FSPOR_4846","terpene"
"NRRL3249","3249_Z9_len1564766.region001","3249_Z9_len1564766",1,"fungal-RiPP-like;NRPS-like","NRPS;RiPP","3249_Z9__g008082--FGSG_04662..FSPOR_10239//3249_Z9__g008093--FGSG_02394..FSPOR_4542","3249_Z9__g008082--FGSG_04662..FSPOR_10239//3249_Z9__g008093--FGSG_02394..FSPOR_4542","fungal-RiPP-like//NRPS-like"
"NRRL3249","3249_Z9_len1564766.region002","3249_Z9_len1564766",2,"CDPS","NRPS","3249_Z9__g008120--FGSG_04615..FSPOR_4516","3249_Z9__g008120--FGSG_04615..FSPOR_4516","CDPS"
"NRRL3249","3249_Z9_len1564766.region003","3249_Z9_len1564766",3,"NRPS-like","NRPS","3249_Z9__g008140--FGSG_10617..FSPOR_4494","3249_Z9__g008140--FGSG_10617..FSPOR_4494","NRPS-like"
"NRRL3249","3249_Z9_len1564766.region004","3249_Z9_len1564766",4,"NRPS","NRPS","3249_Z9__g008269--FGSG_10523..FSPOR_10925","3249_Z9__g008269--FGSG_10523..FSPOR_10925","NRPS"
