"Accession","cluster","chrm","region","locus_tag","gene","type","bb_type","start","end","strand"
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000684--FGSG_05333..FSPOR_3567","3249_Z1__g000684--FGSG_05333..FSPOR_3567","other","N/A",2068785,2069517,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000685--FGSG_05334..FSPOR_3568","3249_Z1__g000685--FGSG_05334..FSPOR_3568","biosynthetic-additional","N/A",2070112,2071895,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000686--FGSG_05335..FSPOR_3569","3249_Z1__g000686--FGSG_05335..FSPOR_3569","other","N/A",2071916,2073137,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000689--FGSG_01680..FSPOR_3572","3249_Z1__g000689--FGSG_01680..FSPOR_3572","biosynthetic","NRPS-like",2084640,2089692,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000690--FGSG_01681..FSPOR_3573","3249_Z1__g000690--FGSG_01681..FSPOR_3573","other","N/A",2090438,2092475,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000691--FGSG_11984..FSPOR_3574","3249_Z1__g000691--FGSG_11984..FSPOR_3574","other","N/A",2092565,2095343,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000692--FGSG_11986..FSPOR_3576","3249_Z1__g000692--FGSG_11986..FSPOR_3576","biosynthetic-additional","N/A",2096151,2097770,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000693--FGSG_11987..FSPOR_3577","3249_Z1__g000693--FGSG_11987..FSPOR_3577","other","N/A",2099017,2100805,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000694","3249_Z1__g000694","transport","N/A",2101768,2105847,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000695--FGSG_11988..FSPOR_3578","3249_Z1__g000695--FGSG_11988..FSPOR_3578","biosynthetic","NRPS",2106360,2111233,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000696--FGSG_05339..FSPOR_3580","3249_Z1__g000696--FGSG_05339..FSPOR_3580","other","N/A",2115891,2116613,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000697--FGSG_05340..FSPOR_382","3249_Z1__g000697--FGSG_05340..FSPOR_382","other","N/A",2123001,2124683,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000698--FGSG_05341..FSPOR_381","3249_Z1__g000698--FGSG_05341..FSPOR_381","other","N/A",2125329,2125898,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000699--FGSG_05342..FSPOR_380","3249_Z1__g000699--FGSG_05342..FSPOR_380","other","N/A",2128223,2129301,1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"3249_Z1__g000700--FGSG_05343..FSPOR_379","3249_Z1__g000700--FGSG_05343..FSPOR_379","other","N/A",2129639,2130916,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"MAK5","3249_Z1__g000687--FGSG_05336..FSPOR_3570","other","N/A",2073920,2076316,-1
"NRRL3249","3249_Z1_len4762658.region001","3249_Z1_len4762658",1,"MLP1","3249_Z1__g000688--FGSG_05337..FSPOR_3571","other","N/A",2077006,2083262,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000719--FGSG_05366..FSPOR_361","3249_Z1__g000719--FGSG_05366..FSPOR_361","other","N/A",2192505,2193558,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000720--FGSG_05367..FSPOR_360","3249_Z1__g000720--FGSG_05367..FSPOR_360","other","N/A",2194514,2196226,1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000721--FGSG_05368..FSPOR_359","3249_Z1__g000721--FGSG_05368..FSPOR_359","transport","N/A",2196332,2198122,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000722--FGSG_05369..FSPOR_358","3249_Z1__g000722--FGSG_05369..FSPOR_358","other","N/A",2200348,2201052,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000723--FGSG_05370..FSPOR_357","3249_Z1__g000723--FGSG_05370..FSPOR_357","other","N/A",2201586,2204439,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000726--FGSG_05373..FSPOR_354","3249_Z1__g000726--FGSG_05373..FSPOR_354","other","N/A",2230590,2233103,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000727--FGSG_05374..FSPOR_353","3249_Z1__g000727--FGSG_05374..FSPOR_353","other","N/A",2234538,2236169,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"3249_Z1__g000728--FGSG_05375..FSPOR_352","3249_Z1__g000728--FGSG_05375..FSPOR_352","biosynthetic-additional","N/A",2239059,2240588,1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"BYE1","3249_Z1__g000717--FGSG_05364..FSPOR_363","other","N/A",2187390,2190061,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"NPS2","3249_Z1__g000725--FGSG_05372..FSPOR_355","biosynthetic","NRPS;NRP-metallophore",2215639,2230273,1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"PRE9","3249_Z1__g000718--FGSG_05365..FSPOR_362","other","N/A",2191307,2192256,1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"rpl29","3249_Z1__g000731","other","N/A",2248246,2248622,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"SID1","3249_Z1__g000724--FGSG_05371..FSPOR_356","biosynthetic","NRP-metallophore",2206231,2207956,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"TFC4","3249_Z1__g000729--FGSG_05376..FSPOR_351","other","N/A",2241037,2244154,-1
"NRRL3249","3249_Z1_len4762658.region002","3249_Z1_len4762658",2,"VTS1","3249_Z1__g000730--FGSG_05377..FSPOR_350","other","N/A",2244918,2246874,-1
