"Accession","chrm","region","locus_tag","gene","start_end_strand","excluded_from_cluster","cluster"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000266--FGSG_08791..FSPOR_8623","6477_Z1__g000266--FGSG_08791..FSPOR_8623","6926..9818","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000267--FGSG_08792..FSPOR_8624","6477_Z1__g000267--FGSG_08792..FSPOR_8624","11043..11445","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000268--FGSG_08793..FSPOR_8625","6477_Z1__g000268--FGSG_08793..FSPOR_8625","complement(11510..12472)","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000269--FGSG_08794..FSPOR_8626","6477_Z1__g000269--FGSG_08794..FSPOR_8626","complement(14305..15786)","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000270--FGSG_08795..FSPOR_8627","6477_Z1__g000270--FGSG_08795..FSPOR_8627","20001..27493","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000271","6477_Z1__g000271","complement(28013..28094)","yes","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000272--FGSG_08796..FSPOR_8628","6477_Z1__g000272--FGSG_08796..FSPOR_8628","complement(28369..29876)","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000273--FGSG_08797..FSPOR_8629","6477_Z1__g000273--FGSG_08797..FSPOR_8629","31672..33710","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000274--FGSG_08798..FSPOR_8630","6477_Z1__g000274--FGSG_08798..FSPOR_8630","complement(34907..36490)","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000275--FGSG_08799..FSPOR_8631","6477_Z1__g000275--FGSG_08799..FSPOR_8631","37656..39284","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"YAP1","6477_Z1__g000276--FGSG_08800..FSPOR_8632","41186..43057","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000277--FGSG_08801..FSPOR_8633","6477_Z1__g000277--FGSG_08801..FSPOR_8633","43841..44693","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",1,"6477_Z1__g000278--FGSG_08802..FSPOR_8634","6477_Z1__g000278--FGSG_08802..FSPOR_8634","45469..46885","no","6477_Z1_len5435389.region001"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000732--FGSG_03063..FSPOR_4849","6477_Z1__g000732--FGSG_03063..FSPOR_4849","3362..4973","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000733--FGSG_03064..FSPOR_4848","6477_Z1__g000733--FGSG_03064..FSPOR_4848","complement(5609..6625)","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000734--FGSG_03065..FSPOR_4847","6477_Z1__g000734--FGSG_03065..FSPOR_4847","complement(7503..9405)","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000735--FGSG_03066..FSPOR_4846","6477_Z1__g000735--FGSG_03066..FSPOR_4846","complement(10001..12024)","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000736--FGSG_03067..FSPOR_4845","6477_Z1__g000736--FGSG_03067..FSPOR_4845","12868..15034","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000737--FGSG_03068..FSPOR_4844","6477_Z1__g000737--FGSG_03068..FSPOR_4844","complement(15303..17227)","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000738--FGSG_03069..FSPOR_4843","6477_Z1__g000738--FGSG_03069..FSPOR_4843","complement(18763..19848)","no","6477_Z1_len5435389.region002"
"NRRL6477","6477_Z1_len5435389",2,"6477_Z1__g000739--FGSG_03070..FSPOR_4842","6477_Z1__g000739--FGSG_03070..FSPOR_4842","complement(20918..21307)","no","6477_Z1_len5435389.region002"
